trade_ref,instrument_id,counterparty_id,asset_class,side,quantity,price,trade_date,status
TRD00324,2,9,DERIVATIVE,SELL,873.2169,2825.2019,2026-07-10,PENDING
TRD00325,14,9,FX,BUY,1728.9179,4273.8852,2026-04-08,PENDING
TRD00326,2,4,DERIVATIVE,BUY,8999.0046,2232.9586,2026-05-27,PENDING
TRD00327,8,3,DERIVATIVE,SELL,5682.7207,2798.398,2026-04-08,PENDING
TRD00328,13,5,EQUITY,SELL,2619.1265,25.0472,2026-06-26,PENDING
TRD00329,10,2,EQUITY,SELL,3510.8358,328.162,2026-04-28,PENDING
TRD00330,15,2,DERIVATIVE,BUY,2942.198,908.1068,2026-04-08,PENDING
TRD00331,13,7,BOND,SELL,4540.5176,4586.4042,2026-04-18,PENDING
TRD00332,7,2,FX,SELL,1274.4684,4964.3054,2026-05-19,PENDING
TRD00333,9,3,FX,BUY,7586.1762,4892.6685,2026-05-21,PENDING
TRD00334,11,9,DERIVATIVE,SELL,8251.2683,1245.0851,2026-05-30,PENDING
TRD00335,3,5,FX,BUY,418.9514,3304.3865,2026-05-15,PENDING
TRD00336,13,1,FX,BUY,766.1799,2973.7813,2026-06-18,PENDING
TRD00337,10,1,FX,BUY,4082.427,1179.353,2026-05-28,PENDING
TRD00338,13,1,FX,SELL,2418.199,4582.8212,2026-04-28,PENDING
TRD00339,6,10,BOND,BUY,3087.4679,724.8696,2026-06-13,PENDING
TRD00340,9,4,DERIVATIVE,SELL,2824.0238,2788.0234,2026-06-24,PENDING
TRD00341,15,3,DERIVATIVE,SELL,564.1526,1728.63,2026-06-15,PENDING
TRD00342,11,7,BOND,SELL,4141.7659,1506.4436,2026-06-22,PENDING
TRD00343,13,9,DERIVATIVE,BUY,8508.4752,1510.6747,2026-04-24,PENDING
TRD00344,3,8,EQUITY,SELL,9681.0833,2790.8609,2026-06-30,PENDING
TRD00345,7,4,BOND,BUY,3369.6036,404.5615,2026-04-18,PENDING
TRD00346,14,6,EQUITY,BUY,610.2126,1892.0682,2026-05-28,PENDING
TRD00347,10,1,EQUITY,BUY,8066.0411,2942.0426,2026-06-17,PENDING
TRD00348,9,4,DERIVATIVE,BUY,8707.7911,1671.4919,2026-06-25,PENDING
TRD00349,1,4,FX,BUY,7494.1044,3774.1104,2026-07-26,PENDING
TRD00350,4,10,FX,SELL,9159.7519,2764.8757,2026-07-27,PENDING
TRD00351,5,7,DERIVATIVE,SELL,3153.3806,1804.6266,2026-07-09,PENDING
TRD00352,8,8,EQUITY,SELL,7640.1268,1607.9641,2026-07-22,PENDING
TRD00353,6,6,DERIVATIVE,BUY,5668.9948,1114.1578,2026-04-27,PENDING
TRD00354,1,5,DERIVATIVE,SELL,1608.873,1656.0278,2026-04-19,PENDING
TRD00355,10,4,DERIVATIVE,SELL,2647.5349,4109.7438,2026-05-19,PENDING
TRD00356,11,8,DERIVATIVE,BUY,7354.4451,1767.3591,2026-07-02,PENDING
TRD00357,12,9,DERIVATIVE,BUY,9177.304,2715.2629,2026-04-18,PENDING
TRD00358,1,9,EQUITY,BUY,9457.3623,3344.3956,2026-06-22,PENDING
TRD00359,1,7,FX,BUY,772.8826,763.6379,2026-07-07,PENDING
TRD00360,9,8,BOND,BUY,6216.5688,3337.1061,2026-04-28,PENDING
TRD00361,15,8,DERIVATIVE,BUY,165.4623,2762.7014,2026-06-18,PENDING
TRD00362,1,9,BOND,SELL,269.7117,4067.6545,2026-04-02,PENDING
TRD00363,7,3,EQUITY,BUY,5291.4155,1212.4345,2026-06-26,PENDING
TRD00364,9,5,BOND,SELL,7969.8697,404.306,2026-06-19,PENDING
TRD00365,8,10,FX,BUY,3069.7489,4142.0298,2026-05-22,PENDING
TRD00366,11,1,EQUITY,SELL,3854.7138,2767.9802,2026-04-11,PENDING
TRD00367,11,1,FX,BUY,5048.5981,2175.2092,2026-04-08,PENDING
TRD00368,6,10,EQUITY,BUY,2374.6883,4507.3521,2026-07-10,PENDING
TRD00369,15,10,DERIVATIVE,SELL,560.9635,380.9968,2026-06-28,PENDING
TRD00370,5,9,EQUITY,BUY,9294.787,1579.2786,2026-07-28,PENDING
TRD00371,10,3,DERIVATIVE,BUY,3062.8412,2824.1514,2026-04-27,PENDING
TRD00372,14,7,BOND,SELL,7580.5317,708.3535,2026-06-12,PENDING
TRD00373,12,2,BOND,BUY,1067.0893,1168.3986,2026-06-28,PENDING
TRD00374,6,10,DERIVATIVE,SELL,393.294,1373.9019,2026-04-10,PENDING
TRD00375,8,4,BOND,SELL,4375.2947,3401.6773,2026-05-28,PENDING
TRD00376,7,2,BOND,BUY,7159.7745,419.3697,2026-06-24,PENDING
TRD00377,7,3,DERIVATIVE,SELL,3670.9323,466.6869,2026-04-20,PENDING
TRD00378,5,8,BOND,SELL,1112.091,445.6132,2026-07-30,PENDING
TRD00379,8,9,DERIVATIVE,BUY,359.9928,1776.0323,2026-05-26,PENDING
TRD00380,10,10,BOND,SELL,222.1721,2074.9122,2026-04-12,PENDING
TRD00381,2,9,FX,BUY,6884.6283,855.8137,2026-07-09,PENDING
TRD00382,5,5,DERIVATIVE,BUY,726.3448,2179.0346,2026-05-05,PENDING
TRD00383,5,8,EQUITY,SELL,2591.8274,1240.4844,2026-05-24,PENDING
TRD00384,8,10,FX,SELL,1159.0264,1530.2434,2026-06-20,PENDING
TRD00385,7,6,DERIVATIVE,SELL,4458.2069,2158.7749,2026-07-31,PENDING
TRD00386,14,10,FX,SELL,3274.585,4736.9218,2026-07-15,PENDING
TRD00387,8,6,FX,SELL,9690.3797,1464.3263,2026-04-26,PENDING
TRD00388,11,8,FX,SELL,3822.9475,4084.3076,2026-06-28,PENDING
TRD00389,6,2,FX,BUY,6848.9551,2754.9948,2026-05-21,PENDING
TRD00390,12,8,FX,SELL,7997.0867,4158.0962,2026-07-31,PENDING
TRD00391,14,7,DERIVATIVE,BUY,6370.0268,1217.6856,2026-04-09,PENDING
TRD00392,3,7,DERIVATIVE,BUY,4545.7605,2993.6899,2026-06-24,PENDING
TRD00393,7,9,DERIVATIVE,BUY,7928.1371,1804.0522,2026-06-14,PENDING
TRD00394,13,9,EQUITY,BUY,7712.6451,3291.4322,2026-07-24,PENDING
TRD00395,3,10,EQUITY,SELL,9671.4302,1664.6675,2026-05-16,PENDING
TRD00396,7,2,EQUITY,BUY,2661.5099,2558.2744,2026-07-11,PENDING
TRD00397,9,10,FX,SELL,3803.7837,2320.6854,2026-06-06,PENDING
TRD00398,10,9,FX,SELL,9977.257,2419.0277,2026-06-26,PENDING
TRD00399,7,2,EQUITY,BUY,3548.4537,1721.9027,2026-05-08,PENDING
TRD00400,4,9,DERIVATIVE,SELL,4814.0091,2196.448,2026-07-10,PENDING
TRD00401,8,6,EQUITY,SELL,542.3622,3556.7872,2026-06-29,PENDING
TRD00402,14,6,EQUITY,BUY,9306.2322,3705.0425,2026-04-03,PENDING
TRD00403,3,9,FX,SELL,5642.5046,4792.7285,2026-06-06,PENDING
TRD00404,13,7,FX,BUY,6440.7409,2166.3509,2026-04-30,PENDING
TRD00405,12,10,FX,SELL,5962.8113,1950.2905,2026-04-04,PENDING
TRD00406,4,4,BOND,BUY,5815.7443,3999.5168,2026-06-30,PENDING
TRD00407,3,6,BOND,BUY,4629.7492,1319.1434,2026-06-08,PENDING
TRD00408,8,9,BOND,SELL,6151.9534,2939.1535,2026-07-20,PENDING
TRD00409,6,8,FX,SELL,9194.9575,2954.9401,2026-05-15,PENDING
TRD00410,3,6,EQUITY,BUY,3123.262,923.3921,2026-06-26,PENDING
TRD00411,3,9,DERIVATIVE,SELL,6004.6156,2878.2822,2026-06-28,PENDING
TRD00412,3,8,FX,BUY,4947.4561,710.0797,2026-05-25,PENDING
TRD00413,14,8,EQUITY,SELL,9523.2353,2428.1985,2026-05-11,PENDING
TRD00414,14,7,DERIVATIVE,SELL,6878.497,2083.9959,2026-04-25,PENDING
TRD00415,8,8,FX,BUY,5697.4382,3981.4456,2026-07-17,PENDING
TRD00416,5,1,BOND,BUY,5422.3253,849.3628,2026-04-29,PENDING
TRD00417,10,8,EQUITY,BUY,2752.1002,2720.0998,2026-05-29,PENDING
TRD00418,9,1,DERIVATIVE,BUY,9898.7797,521.058,2026-05-17,PENDING
TRD00419,11,4,BOND,BUY,4552.3502,1749.3991,2026-07-16,PENDING
TRD00420,2,8,EQUITY,BUY,2177.7939,3690.6888,2026-07-14,PENDING
TRD00421,6,10,DERIVATIVE,BUY,6199.8969,3926.3981,2026-06-28,PENDING
TRD00422,4,1,BOND,SELL,6008.8911,850.203,2026-07-14,PENDING
TRD00423,5,5,BOND,BUY,1442.3302,3752.9697,2026-06-30,PENDING
TRD00424,15,1,BOND,BUY,7044.1226,672.1274,2026-05-23,PENDING
TRD00425,12,6,FX,SELL,4945.6414,2891.3534,2026-04-19,PENDING
TRD00426,11,7,DERIVATIVE,SELL,847.6111,3975.0472,2026-05-05,PENDING
TRD00427,2,7,BOND,SELL,4601.4869,2445.342,2026-07-08,PENDING
TRD00428,1,2,DERIVATIVE,SELL,8516.0518,3980.4329,2026-06-14,PENDING
TRD00429,4,7,FX,SELL,2758.5147,4143.4346,2026-05-21,PENDING
TRD00430,9,10,FX,SELL,7904.2062,4471.8317,2026-05-14,PENDING
TRD00431,1,1,EQUITY,SELL,261.1854,4647.87,2026-07-07,PENDING
TRD00432,8,8,EQUITY,SELL,2102.9502,3446.0735,2026-04-21,PENDING
TRD00433,15,5,FX,SELL,1024.0658,1808.5726,2026-04-17,PENDING
TRD00434,6,3,EQUITY,SELL,6293.4823,3632.6819,2026-04-11,PENDING
TRD00435,4,7,EQUITY,BUY,110.7544,2389.2655,2026-07-06,PENDING
TRD00436,10,4,DERIVATIVE,BUY,179.8194,1724.435,2026-04-17,PENDING
TRD00437,14,7,FX,SELL,801.2002,1921.5189,2026-04-16,PENDING
TRD00438,13,2,EQUITY,SELL,3738.8607,1503.2841,2026-07-03,PENDING
TRD00439,13,3,FX,BUY,5352.0319,52.289,2026-05-19,PENDING
TRD00440,3,8,BOND,BUY,6317.9924,765.3569,2026-06-23,PENDING
TRD00441,10,8,FX,BUY,8976.2702,708.6656,2026-05-23,PENDING
TRD00442,10,7,BOND,SELL,3213.5863,707.7526,2026-04-16,PENDING
TRD00443,11,2,FX,SELL,7811.7996,3455.4756,2026-05-06,PENDING
TRD00444,14,5,FX,BUY,7503.652,1484.7548,2026-07-18,PENDING
TRD00445,13,4,DERIVATIVE,SELL,1216.1623,2502.9169,2026-04-07,PENDING
TRD00446,2,9,EQUITY,SELL,9345.8516,668.5946,2026-06-16,PENDING
TRD00447,14,10,DERIVATIVE,SELL,5508.9266,872.1239,2026-07-20,PENDING
TRD00448,13,2,EQUITY,BUY,236.5549,1086.5573,2026-05-31,PENDING
TRD00449,1,7,BOND,SELL,4293.3948,2017.3643,2026-07-28,PENDING
TRD00450,9,9,FX,SELL,927.611,404.3176,2026-06-21,PENDING
TRD00451,4,3,BOND,SELL,5905.7279,3818.4884,2026-07-27,PENDING
TRD00452,11,2,BOND,SELL,7326.5879,4233.8759,2026-06-23,PENDING
TRD00453,4,2,DERIVATIVE,BUY,4588.3812,3048.0737,2026-04-08,PENDING
TRD00454,11,3,EQUITY,BUY,7108.216,3510.4831,2026-05-10,PENDING
TRD00455,8,6,BOND,BUY,3781.5074,3751.3842,2026-04-21,PENDING
TRD00456,5,2,EQUITY,SELL,8090.3677,1367.1832,2026-07-21,PENDING
TRD00457,5,10,EQUITY,SELL,4606.458,1807.0182,2026-04-09,PENDING
TRD00458,14,10,FX,SELL,1657.3688,3868.9115,2026-06-03,PENDING
TRD00459,10,2,FX,BUY,535.9753,4316.0132,2026-07-24,PENDING
TRD00460,1,8,BOND,SELL,9210.2428,903.0151,2026-05-02,PENDING
TRD00461,1,9,DERIVATIVE,BUY,3285.8399,2087.1204,2026-07-19,PENDING
TRD00462,6,5,EQUITY,SELL,1282.0692,3369.8953,2026-07-02,PENDING
TRD00463,3,4,EQUITY,SELL,782.3717,2330.8199,2026-04-07,PENDING
TRD00464,13,5,BOND,BUY,5575.6048,49.7662,2026-05-07,PENDING
TRD00465,5,10,BOND,BUY,4692.8742,2962.5378,2026-04-26,PENDING
TRD00466,13,4,FX,BUY,163.141,2056.0802,2026-06-03,PENDING
TRD00467,9,6,EQUITY,SELL,114.4742,3289.9462,2026-04-30,PENDING
TRD00468,12,5,EQUITY,BUY,5345.1634,1198.4563,2026-07-18,PENDING
TRD00469,1,3,BOND,BUY,534.6126,1165.0481,2026-06-02,PENDING
TRD00470,9,7,BOND,SELL,9748.0924,433.6631,2026-07-18,PENDING
TRD00471,9,3,DERIVATIVE,BUY,5959.7681,320.7915,2026-04-13,PENDING
TRD00472,3,4,BOND,SELL,8524.0457,4630.9493,2026-06-24,PENDING
TRD00473,12,6,BOND,SELL,2792.3631,382.6903,2026-05-21,PENDING
TRD00474,3,10,EQUITY,BUY,1146.0117,2253.3381,2026-04-26,PENDING
TRD00475,7,2,BOND,BUY,4573.9791,2322.0995,2026-05-11,PENDING
TRD00476,2,2,FX,SELL,8281.2282,3487.4211,2026-07-19,PENDING
TRD00477,4,6,FX,BUY,7140.4582,4842.316,2026-04-06,PENDING
TRD00478,9,1,BOND,SELL,8218.8872,877.6,2026-05-21,PENDING
TRD00479,7,8,FX,BUY,4674.2282,4021.4448,2026-07-31,PENDING
TRD00480,2,1,EQUITY,BUY,1394.0809,4120.1303,2026-04-18,PENDING
TRD00481,11,2,BOND,BUY,315.8218,331.7155,2026-05-18,PENDING
TRD00482,11,8,FX,BUY,9060.2719,4148.4873,2026-07-25,PENDING
TRD00483,2,1,DERIVATIVE,BUY,1763.0932,2873.6822,2026-05-13,PENDING
TRD00484,12,7,DERIVATIVE,BUY,3889.0214,2139.0535,2026-07-15,PENDING
TRD00485,4,3,BOND,SELL,4515.5132,751.6707,2026-05-16,PENDING
TRD00486,10,10,FX,SELL,5039.0269,4415.0651,2026-06-18,PENDING
TRD00487,1,2,BOND,SELL,1458.6366,1005.2945,2026-06-01,PENDING
TRD00488,13,9,FX,BUY,9895.0958,3911.7597,2026-07-23,PENDING
TRD00489,8,9,DERIVATIVE,SELL,9135.5025,2516.9423,2026-05-16,PENDING
TRD00490,5,3,EQUITY,SELL,6011.4519,156.2243,2026-05-20,PENDING
TRD00491,13,5,EQUITY,SELL,5341.3797,3836.5424,2026-07-13,PENDING
TRD00492,3,2,FX,BUY,2738.6173,4083.263,2026-04-30,PENDING
TRD00493,12,1,FX,SELL,3612.5659,4197.719,2026-07-27,PENDING
TRD00494,3,3,FX,SELL,8081.4812,3491.1566,2026-07-18,PENDING
TRD00495,10,1,BOND,BUY,5674.778,949.286,2026-07-26,PENDING
TRD00496,15,8,BOND,BUY,4955.3206,460.3843,2026-07-13,PENDING
TRD00497,10,4,EQUITY,SELL,106.7666,4590.302,2026-04-30,PENDING
TRD00498,13,3,BOND,BUY,9195.9298,4222.9776,2026-04-26,PENDING
TRD00499,1,1,FX,BUY,7766.2283,4233.9396,2026-05-12,PENDING
TRD00500,6,2,BOND,SELL,5901.565,1689.4397,2026-07-20,PENDING
